"Variable","MAE","RMSE","MAPE","SMAPE"
"Ind_Biomass",25426.72,32914.42,86.42,148.57
"Ind_Coal",296705.15,299928.46,92.41,174.38
"Ind_Briquette",43.82,61.88,9340220035045.53,129.68
"Ind_Gas",13648.61,14181,13.73,13.2
"Ind_Kerosene",172,172.01,100,200
"Ind_Gasoil_CN_48",1584,1604.27,100,200
"Ind_MDF",294.33,297.3,100,200
"Ind_BioGasoil",11490.54,11583.7,72.21,52.98
"Ind_Fuel_Oil",12385.33,12501.71,100,200
"Ind_Total_Fuel",27192.92,27299.46,89.92,165.49
"Ind_Other_Petroleum_Product",0,0,0,0
"Ind_LPG",68.15,81.15,6.29,6.02
"Ind_Electricity",9151.14,9278.35,12.86,13.77
"Ind_Total",280220.1,281207.37,50.84,68.32
"RT_Biomass",16055,16089.88,100,200
"RT_Gas",123.65,151.25,11.83,12.99
"RT_Kerosene",2590.33,2590.5,100,200
"RT_LPG",9801.68,10636.42,13.24,12.31
"RT_Electricity",11743,14677.44,14.63,16.46
"RT_Total",53573.32,53853.24,31.73,37.75
"Kom_Biomass",10.94,10.98,0.85,0.84
"Kom_Gas",103.99,124.12,19.4,21.86
"Kom_Kerosene",142.33,142.35,100,200
"Kom_Gasoil_CN_48",228,230.93,100,200
"Kom_MDF",1.33,1.41,100,200
"Kom_Total_Fuel",2579.21,2588.16,96.99,188.95
"Kom_LPG",156.04,195.2,7.99,8.53
"Kom_Total",11435.22,13376.41,21.37,24.77
