"Year","Variable","Value","Type"
1990,"Ind_Coal_and_coal_products",61881,"Actual"
1990,"Ind_Natural_gas",80811,"Actual"
1990,"Ind_Biofuels_and_waste",303274,"Actual"
1990,"Ind_Electricity",52354,"Actual"
1990,"Ind_Oil_and_oil_products",231873,"Actual"
1990,"RT_Oil_products",257809,"Actual"
1990,"RT_Natural_gas",224,"Actual"
1990,"RT_Biofuels_and_waste",525585,"Actual"
1990,"RT_Electricity",32756,"Actual"
1990,"Kom_Oil_products",13406,"Actual"
1990,"Kom_Natural_gas",530,"Actual"
1990,"Kom_Biofuels_and_waste",2727,"Actual"
1990,"Kom_Electricity",16725,"Actual"
1991,"Ind_Coal_and_coal_products",67563,"Actual"
1991,"Ind_Natural_gas",65717,"Actual"
1991,"Ind_Biofuels_and_waste",314200,"Actual"
1991,"Ind_Electricity",57693,"Actual"
1991,"Ind_Oil_and_oil_products",234142,"Actual"
1991,"RT_Oil_products",265171,"Actual"
1991,"RT_Natural_gas",230,"Actual"
1991,"RT_Biofuels_and_waste",523776,"Actual"
1991,"RT_Electricity",37173,"Actual"
1991,"Kom_Oil_products",16507,"Actual"
1991,"Kom_Natural_gas",593,"Actual"
1991,"Kom_Biofuels_and_waste",4002,"Actual"
1991,"Kom_Electricity",18468,"Actual"
1992,"Ind_Coal_and_coal_products",72705,"Actual"
1992,"Ind_Natural_gas",70786,"Actual"
1992,"Ind_Biofuels_and_waste",322533,"Actual"
1992,"Ind_Electricity",63918,"Actual"
1992,"Ind_Oil_and_oil_products",243716,"Actual"
1992,"RT_Oil_products",276981,"Actual"
1992,"RT_Natural_gas",230,"Actual"
1992,"RT_Biofuels_and_waste",521998,"Actual"
1992,"RT_Electricity",42015,"Actual"
1992,"Kom_Oil_products",20742,"Actual"
1992,"Kom_Natural_gas",674,"Actual"
1992,"Kom_Biofuels_and_waste",5685,"Actual"
1992,"Kom_Electricity",19936,"Actual"
1993,"Ind_Coal_and_coal_products",77301,"Actual"
1993,"Ind_Natural_gas",68989,"Actual"
1993,"Ind_Biofuels_and_waste",330395,"Actual"
1993,"Ind_Electricity",70383,"Actual"
1993,"Ind_Oil_and_oil_products",279413,"Actual"
1993,"RT_Oil_products",274334,"Actual"
1993,"RT_Natural_gas",235,"Actual"
1993,"RT_Biofuels_and_waste",520978,"Actual"
1993,"RT_Electricity",47465,"Actual"
1993,"Kom_Oil_products",26023,"Actual"
1993,"Kom_Natural_gas",755,"Actual"
1993,"Kom_Biofuels_and_waste",7681,"Actual"
1993,"Kom_Electricity",22410,"Actual"
1994,"Ind_Coal_and_coal_products",82752,"Actual"
1994,"Ind_Natural_gas",107559,"Actual"
1994,"Ind_Biofuels_and_waste",338427,"Actual"
1994,"Ind_Electricity",80874,"Actual"
1994,"Ind_Oil_and_oil_products",319465,"Actual"
1994,"RT_Oil_products",281041,"Actual"
1994,"RT_Natural_gas",282,"Actual"
1994,"RT_Biofuels_and_waste",516284,"Actual"
1994,"RT_Electricity",54583,"Actual"
1994,"Kom_Oil_products",28380,"Actual"
1994,"Kom_Natural_gas",990,"Actual"
1994,"Kom_Biofuels_and_waste",8543,"Actual"
1994,"Kom_Electricity",25351,"Actual"
1995,"Ind_Coal_and_coal_products",89431,"Actual"
1995,"Ind_Natural_gas",113142,"Actual"
1995,"Ind_Biofuels_and_waste",342704,"Actual"
1995,"Ind_Electricity",89002,"Actual"
1995,"Ind_Oil_and_oil_products",428311,"Actual"
1995,"RT_Oil_products",298626,"Actual"
1995,"RT_Natural_gas",333,"Actual"
1995,"RT_Biofuels_and_waste",513134,"Actual"
1995,"RT_Electricity",65232,"Actual"
1995,"Kom_Oil_products",36247,"Actual"
1995,"Kom_Natural_gas",990,"Actual"
1995,"Kom_Biofuels_and_waste",9334,"Actual"
1995,"Kom_Electricity",24861,"Actual"
1996,"Ind_Coal_and_coal_products",83029,"Actual"
1996,"Ind_Natural_gas",105474,"Actual"
1996,"Ind_Biofuels_and_waste",346791,"Actual"
1996,"Ind_Electricity",100616,"Actual"
1996,"Ind_Oil_and_oil_products",444160,"Actual"
1996,"RT_Oil_products",316554,"Actual"
1996,"RT_Natural_gas",391,"Actual"
1996,"RT_Biofuels_and_waste",509528,"Actual"
1996,"RT_Electricity",70383,"Actual"
1996,"Kom_Oil_products",39007,"Actual"
1996,"Kom_Natural_gas",1117,"Actual"
1996,"Kom_Biofuels_and_waste",10234,"Actual"
1996,"Kom_Electricity",33955,"Actual"
1997,"Ind_Coal_and_coal_products",86727,"Actual"
1997,"Ind_Natural_gas",135167,"Actual"
1997,"Ind_Biofuels_and_waste",350718,"Actual"
1997,"Ind_Electricity",113187,"Actual"
1997,"Ind_Oil_and_oil_products",470639,"Actual"
1997,"RT_Oil_products",321015,"Actual"
1997,"RT_Natural_gas",426,"Actual"
1997,"RT_Biofuels_and_waste",497945,"Actual"
1997,"RT_Electricity",81777,"Actual"
1997,"Kom_Oil_products",40268,"Actual"
1997,"Kom_Natural_gas",1197,"Actual"
1997,"Kom_Biofuels_and_waste",10826,"Actual"
1997,"Kom_Electricity",37105,"Actual"
1998,"Ind_Coal_and_coal_products",95346,"Actual"
1998,"Ind_Natural_gas",103354,"Actual"
1998,"Ind_Biofuels_and_waste",354359,"Actual"
1998,"Ind_Electricity",100746,"Actual"
1998,"Ind_Oil_and_oil_products",438361,"Actual"
1998,"RT_Oil_products",332682,"Actual"
1998,"RT_Natural_gas",437,"Actual"
1998,"RT_Biofuels_and_waste",485212,"Actual"
1998,"RT_Electricity",89481,"Actual"
1998,"Kom_Oil_products",39359,"Actual"
1998,"Kom_Natural_gas",1071,"Actual"
1998,"Kom_Biofuels_and_waste",8970,"Actual"
1998,"Kom_Electricity",44712,"Actual"
1999,"Ind_Coal_and_coal_products",143203,"Actual"
