"Variable","MAE","RMSE","MAPE"
"Ind_Coal_and_coal_products",105737.441719488,114546.225517746,18.5863837299723
"Ind_Natural_gas",65938.999180627,71938.9688673219,10.8733091197496
"Ind_Biofuels_and_waste",155480.124169427,186620.126250533,46.0808158417863
"Ind_Electricity",223205.181536536,263994.020254884,38.6626523955073
"Ind_Oil_and_oil_products",195769.762602153,212942.804995276,73.1928968194533
"RT_Oil_products",66929.2465942455,72710.2177360488,17.2036101724746
"RT_Natural_gas",946.854282064193,1275.00898587002,27.0410829658129
"RT_Biofuels_and_waste",20971.7378116191,21770.2093688814,16.4397696118828
"RT_Electricity",30202.0491496819,36894.9164343757,7.35071030822298
"Kom_Oil_products",8258.53051093868,11654.6906292468,38.4034978689196
"Kom_Natural_gas",1262.60277705627,1601.62112359885,34.4838784169494
"Kom_Biofuels_and_waste",2262.92125621899,2657.51203461098,20.5003198551112
"Kom_Electricity",12521.458061996,14562.1445990698,5.16199986413655
