"Variable","MAE","RMSE","MAPE"
"Ind_Coal_and_coal_products",103703.029097804,111706.598909235,18.2776939216524
"Ind_Natural_gas",68068.2088272938,74102.2744359494,11.2356761383681
"Ind_Biofuels_and_waste",154663.513546486,185538.230218994,45.8450396467129
"Ind_Electricity",222255.44009068,262281.082118789,38.540962609399
"Ind_Oil_and_oil_products",191222.341220351,209965.985513868,71.5692861498664
"RT_Oil_products",67775.6670874783,73570.8267620181,17.422231136536
"RT_Natural_gas",985.37522673086,1332.99926749693,27.9775851353255
"RT_Biofuels_and_waste",22416.3351089198,23288.9648858777,17.6521173466248
"RT_Electricity",28642.9609582346,34380.5204920457,6.99702757936146
"Kom_Oil_products",8358.36265008598,11671.5234363701,38.8244411323018
"Kom_Natural_gas",1152.61125214062,1470.4879037836,31.7846252957979
"Kom_Biofuels_and_waste",2209.88102806066,2591.60849897039,20.0298351640832
"Kom_Electricity",12510.3749145142,14523.644912668,5.15282846889537
