,Ind_Biomass,Ind_Coal,Ind_Geothermal,Ind_Briquette,Ind_Gas,Ind_Kerosene,Ind_Gasoil CN 48,Ind_MDF,Ind_BioGasoil,Ind_Fuel Oil,Ind_Total Fuel,Ind_Other Petroleum Product,Ind_LPG,Ind_Electricity,Ind_Total,RT_Biomass,RT_Gas,RT_Kerosene,RT_LPG,RT_Electricity,RT_Total,Kom_Biomass,Kom_Gas,Kom_Kerosene,Kom_Gasoil CN 48,Kom_MDF,Kom_BioGasoil,Kom_Total Fuel,Kom_LPG,Kom_Electricity,Kom_Total
2000,,,,,,4219,,8008,,,,,,,292289,208610,,63216,,,296573,,,3491,,43,,,,,
2001,-3795.0,,0.0,,15035.0,4160,2287.0,7735,0.0,1099.0,3054.0,12277.0,,,300683,212323,0.0008339370116963174,62329,,,301347,-8.0,13.0,3442,330.0,42,0.0,,-119.0,,780.0
2002,-2883.0,716.0,0.0,12.0,-1353.0,3955,-1176.0,7311,0.0,-1084.0,-2343.0,-3024.0,31.823800339723732,-0.011232370596863106,299643,216465,0.0010550334185499555,59261,-0.006965935226750375,-1.265795988082509,303033,-7.0,17.0,3272,-91.0,39,0.0,-541.0,141.0,-597.0,302.0
2003,-2136.0,27889.0,0.0,-11.0,9404.0,3980,-884.0,6358,0.0,-4840.0,-7197.0,845.0,-59.133379480228086,-0.044926315486774726,323626,220377,0.00030895560088595175,59640,0.06332377480775442,0.6042000776766585,309046,-7.0,-6.0,3293,-206.0,34,0.0,71.0,-333.0,1566.0,645.0
2004,-3250.0,-42486.0,0.0,9.0,-4836.0,4012,5588.0,5862,0.0,4438.0,5685.0,14183.0,84.74392180841548,0.11205916683332262,325670,223425,0.001992105958694479,60112,-0.1268323715034647,0.5273659425442005,314115,-7.0,16.0,3319,805.0,31,0.0,1019.0,342.0,254.0,3015.0
2005,-2997.0,23320.0,0.0,11.0,1201.0,3851,-3057.0,4843,0.0,-9577.0,-9939.0,-8102.0,-38.73289587420581,-0.04999595672092383,317040,224707,0.0,57696,-0.0940652526662582,-0.19379164036406848,313772,-7.0,16.0,3186,-441.0,26,0.0,-1407.0,36.0,-477.0,823.0
2006,2756.0,12899.0,0.0,-14.0,-3432.0,3394,-4902.0,2627,0.0,537.0,-7036.0,11512.0,39.12873085459921,-0.02422465809270058,345178,228186,0.00024636999868632437,50862,0.23871562455830464,-0.06912631615777087,312716,-7.0,16.0,2809,-705.0,14,0.0,-516.0,-83.0,-229.0,-40.0
2007,-4568.0,9562.0,0.0,-5.0,-3122.0,3352,-1240.0,1422,0.0,-2298.0,-4785.0,-1253.0,-71.37641518255222,0.02183269645842678,365434,231616,0.0002314045830525968,50229,0.10320996956458828,0.4012278100155271,319333,-7.0,68.0,2774,-179.0,8,0.0,875.0,96.0,635.0,1701.0
2008,2127.0,-60730.0,0.0,71.0,10504.0,2676,-3692.0,865,0.0,13626.0,8700.0,-39873.0,12.202100808316317,-0.002725771921500808,320302,68422,-5.652322294324996e-05,40096,0.2633404782451354,-0.38870339970569034,152899,-7.0,83.0,2214,-532.0,5,0.0,-874.0,-293.0,-130.0,323.0
2009,286.0,16421.0,0.0,-1.0,-1126.0,1619,2143.0,706,0.0,-2594.0,-1667.0,0.0,-65.92495276913161,-0.08370452456211908,304791,63082,-5.739486379208181e-05,24255,0.04352215913424473,0.726357109514737,143915,-7.0,-27.0,1394,309.0,4,0.0,527.0,-15.0,-23.0,1340.0
