"Variable","Year","CI_Upper","Forecast","CI_Lower"
"Temperature",2024,1.30870130850521,1.04160939153538,0.774517474565546
"Temperature",2025,1.19926481556948,0.932172898599649,0.665080981629815
"Temperature",2026,1.09558104121675,0.828489124246917,0.561397207277083
"Temperature",2027,1.02239262150471,0.755300704534877,0.488208787565042
"Temperature",2028,0.967883001893446,0.700791084923611,0.433699167953777
"Temperature",2029,0.928381494327919,0.661289577358085,0.394197660388251
"Temperature",2030,0.881420041780048,0.614328124810213,0.347236207840379
"Emission_GRK",2024,2351342517.66258,1956474011.78335,1561605505.90411
"Emission_GRK",2025,2385572206.1174,1990703700.23817,1595835194.35893
"Emission_GRK",2026,2402220339.90469,2007351834.02546,1612483328.14622
"Emission_GRK",2027,2429408924.56481,2034540418.68557,1639671912.80634
"Emission_GRK",2028,2487247128.6584,2092378622.77917,1697510116.89994
"Emission_GRK",2029,2532090842.81203,2137222336.93279,1742353831.05356
"Emission_GRK",2030,2588382789.34744,2193514283.4682,1798645777.58897
"Emission_CO2",2024,860435312.282651,664152917.739581,467870523.196511
"Emission_CO2",2025,779579964.470905,583297569.927835,387015175.384766
"Emission_CO2",2026,710895128.339821,514612733.796751,318330339.253682
"Emission_CO2",2027,648548817.16805,452266422.62498,255984028.08191
"Emission_CO2",2028,590671346.756858,394388952.213788,198106557.670718
"Emission_CO2",2029,535826022.92669,339543628.38362,143261233.84055
"Emission_CO2",2030,480319499.432177,284037104.889108,87754710.346038
