Entity,Year,Emission_GRK
Indonesia,1990,1012411400
Indonesia,1991,994146200
Indonesia,1992,1196247200
Indonesia,1993,1100796400
Indonesia,1994,1324479200
Indonesia,1995,1252830300
Indonesia,1996,1218626600
Indonesia,1997,3027978500
Indonesia,1998,1259636000
Indonesia,1999,1285879900
Indonesia,2000,1250713100
Indonesia,2001,1168101200
Indonesia,2002,1482271100
Indonesia,2003,1161727600
Indonesia,2004,1288085500
Indonesia,2005,1217585700
Indonesia,2006,1858979100
Indonesia,2007,1356118400
Indonesia,2008,1483167700
Indonesia,2009,1855114600
Indonesia,2010,1649019500
Indonesia,2011,1831722200
Indonesia,2012,1924482000
Indonesia,2013,1978383100
Indonesia,2014,2144122000
Indonesia,2015,2620778500
Indonesia,2016,1750910800
Indonesia,2017,1725163300
Indonesia,2018,1813220700
Indonesia,2019,2113899100
Indonesia,2020,1725431400
Indonesia,2021,1763947000
Indonesia,2022,1812192400
Indonesia,2023,1940847400
