Year,Sector,Biomass,Coal,Briquette,Gas,Kerosene,Gasoil CN 48,MDF,Fuel Oil,Total Fuel,LPG,Electricity,Total
2000,Industri,58981,36060,85,66826,4219,37171,8008,25581,74979,1073,20850,292289
2001,Industri,55186,37021,78,81861,4160,39458,7735,26680,78033,972,21819,300683
2002,Industri,52303,38698,83,80508,3955,38282,7311,25596,75690,1093,22578,299643
2003,Industri,50167,68264,77,89912,3980,37398,6358,20756,68493,808,22337,323626
2004,Industri,46917,55344,80,85076,4012,42986,5862,25194,74178,1101,24719,325670
2005,Industri,43920,65744,94,86277,3851,39929,4843,15617,64239,1131,26021,317040
2006,Industri,46676,89043,94,82845,3394,35027,2627,16154,57203,1453,26736,345178
2007,Industri,42108,121904,89,79723,3352,33787,1422,13856,52418,1242,28077,365434
2008,Industri,44235,94035,155,90227,2676,30095,865,27482,61118,1127,29405,320302
2009,Industri,44521,82587,220,89101,1619,32238,706,24888,59451,588,28323,304791
2010,Industri,43317,137489,123,85729,964,28049,612,20848,50473,655,31254,349040
2011,Industri,43724,144502,121,91342,672,36886,710,21820,60089,623,33547,375210
2012,Industri,42732,123022,130,94013,468,49515,507,20223,70713,621,36888,369705
2013,Industri,44399,42729,130,95431,427,46822,438,11642,59328,693,39466,283561
2014,Industri,45,55064,58,93308,329,42330,337,11112,54108,753,40402,243692
2015,Industri,120,70228,50,94128,261,29647,294,9717,39917,788,39281,244513
2016,Industri,185,63504,107,91519,203,27650,233,11812,39899,821,41773,237807
2017,Industri,186,58800,107,106567,208,24905,544,12264,37921,888,44282,248751
2018,Industri,342,100506,36,116657,203,18517,394,13174,32288,934,57338,308101
2019,Industri,555,167412,28,111974,192,1099,314,9883,24811,961,57794,363535
2020,Industri,637,113416,188,105492,178,2048,234,7669,22578,991,54638,297942
2021,Industri,1309,87820,0,109421,177,3706,301,8118,25776,1033,61492,286851
2022,Industri,4524,299191,0,105496,171,1492,353,14751,31827,1058,69616,511715
2023,Industri,20452,316754,3,119192,170,1329,272,10819,28453,1076,70704,556639
2024,Industri,53147,342672,0,85913,175,1931,258,11586,30593,1100,72811,586240
