Year,Sector,Coal and coal products,Natural gas,Biofuels and waste,Electricity,Oil and oil products
1990,Industri,61881,80811,303274,52354,231873
1991,Industri,67563,65717,314200,57693,234142
1992,Industri,72705,70786,322533,63918,243716
1993,Industri,77301,68989,330395,70383,279413
1994,Industri,82752,107559,338427,80874,319465
1995,Industri,89431,113142,342704,89002,428311
1996,Industri,83029,105474,346791,100616,444160
1997,Industri,86727,135167,350718,113187,470639
1998,Industri,95346,103354,354359,100746,438361
1999,Industri,143203,185030,357998,112816,497496
2000,Industri,190475,217493,360837,122446,366133
2001,Industri,195588,275905,336115,128134,372571
2002,Industri,204394,264199,317150,132580,328568
2003,Industri,359027,254705,302828,131389,346413
2004,Industri,291407,297867,281942,138916,476686
2005,Industri,346333,297867,262750,153774,421087
2006,Industri,468790,540594,285557,158137,393700
2007,Industri,640546,315922,269473,165387,426585
2008,Industri,395004,385885,270623,172407,427096
2009,Industri,435252,476522,272372,168152,423466
2010,Industri,247461,493895,265007,209720,393998
2011,Industri,257430,533508,267497,223186,447595
2012,Industri,268466,550757,261428,242806,463174
2013,Industri,309411,527094,271627,259483,396756
2014,Industri,267400,513761,276453,273260,438853
2015,Industri,290178,518277,274251,276017,512643
2016,Industri,348935,503909,269044,296804,307443
2017,Industri,398688,586767,271265,331040,339181
2018,Industri,493009,642323,264145,441381,306662
2019,Industri,549263,616539,276763,461279,253290
2020,Industri,521555,580850,338226,473942,261072
2021,Industri,535271,602483,348192,554567,249178
2022,Industri,622683,580868,351601,655694,289652
2023,Industri,723422,656281,355785,730823,254161
