Entity,Year,Emission_CO₂
Indonesia,1990,154990690
Indonesia,1991,174754220
Indonesia,1992,199298020
Indonesia,1993,214962850
Indonesia,1994,219199950
Indonesia,1995,222225300
Indonesia,1996,252855740
Indonesia,1997,279695600
Indonesia,1998,244315330
Indonesia,1999,291770660
Indonesia,2000,281054430
Indonesia,2001,316759360
Indonesia,2002,308201300
Indonesia,2003,339023900
Indonesia,2004,342708600
Indonesia,2005,347361280
Indonesia,2006,346365760
Indonesia,2007,387577250
Indonesia,2008,365384030
Indonesia,2009,398624420
Indonesia,2010,445370080
Indonesia,2011,500457660
Indonesia,2012,515769600
Indonesia,2013,493435140
Indonesia,2014,498028800
Indonesia,2015,551160060
Indonesia,2016,547968900
Indonesia,2017,570928200
Indonesia,2018,607378370
Indonesia,2019,665049340
Indonesia,2020,623304000
Indonesia,2021,632946050
Indonesia,2022,758020500
Indonesia,2023,762357570
