Year,Sector,Biomass,Gas,Kerosene,Gasoil CN 48,MDF,Total Fuel,LPG,Electricity,Total
2000,Komersial,1452,134,3491,5352,43,8886,1257,8943,20670
2001,Komersial,1444,147,3442,5682,42,9165,1138,9555,21450
2002,Komersial,1437,164,3272,5591,39,8903,1279,9570,21752
2003,Komersial,1430,158,3293,5385,34,8712,946,11151,22397
2004,Komersial,1423,174,3319,6190,31,9540,1288,12986,25412
2005,Komersial,1416,190,3186,5749,26,8961,1324,14344,26235
2006,Komersial,1409,206,2809,5044,14,7866,1241,15473,26195
2007,Komersial,1402,274,2774,4865,8,7646,1337,17237,27896
2008,Komersial,1395,357,2214,4333,5,6552,1044,18871,28219
2009,Komersial,1388,330,1394,4642,4,5985,1029,20482,29559
2010,Komersial,1381,963,797,4840,3,5640,1042,21693,30719
2011,Komersial,1367,927,656,5311,3,5971,1121,24448,33834
2012,Komersial,1355,874,587,7130,3,7720,1139,26567,37655
2013,Komersial,1360,1242,353,6742,2,7098,1269,28366,38335
2014,Komersial,1353,1447,272,6095,2,6369,1379,29701,40250
2015,Komersial,1346,1435,216,4269,2,4486,1444,30576,39287
2016,Komersial,1340,1272,168,3981,1,4150,1504,33103,41369
2017,Komersial,1333,1204,172,3586,3,3761,1628,34452,42378
2018,Komersial,1326,1211,168,2666,2,2836,1712,36516,43654
2019,Komersial,1320,1234,159,1918,2,2237,1761,38993,45545
2020,Komersial,1313,732,147,295,2,2236,1369,36701,43175
2021,Komersial,1307,701,147,534,2,2622,1892,37426,43941
2022,Komersial,1300,772,141,215,2,2527,1938,39340,45813
2023,Komersial,1294,365,141,191,1,2618,1951,40790,48232
2024,Komersial,1287,536,145,278,1,2821,2015,49709,58360
