Year,Sector,Oil products,Natural gas,Biofuels and waste,Electricity
1990,Komersial,13406,530,2727,16725
1991,Komersial,16507,593,4002,18468
1992,Komersial,20742,674,5685,19936
1993,Komersial,26023,755,7681,22410
1994,Komersial,28380,990,8543,25351
1995,Komersial,36247,990,9334,24861
1996,Komersial,39007,1117,10234,33955
1997,Komersial,40268,1197,10826,37105
1998,Komersial,39359,1071,8970,44712
1999,Komersial,44391,1117,8919,47199
2000,Komersial,58286,1169,8883,52516
2001,Komersial,59227,1187,8834,56113
2002,Komersial,58456,1204,8790,58550
2003,Komersial,55531,1221,8748,65487
2004,Komersial,62057,1221,8704,76265
2005,Komersial,58990,1221,8660,84769
2006,Komersial,52216,1187,8620,91515
2007,Komersial,48231,1578,8576,101538
2008,Komersial,43412,2056,8534,110937
2009,Komersial,39935,4205,8491,121672
2010,Komersial,33182,5547,8449,131353
2011,Komersial,39398,7432,8406,137358
2012,Komersial,48798,9361,8362,150055
2013,Komersial,47124,7827,8320,165416
2014,Komersial,43576,7967,8276,174985
2015,Komersial,33339,7901,8235,180302
2016,Komersial,31761,7005,8198,195206
2017,Komersial,30265,6630,8155,203176
2018,Komersial,25533,6669,8112,223399
2019,Komersial,20057,6795,10169,235158
2020,Komersial,19647,4031,10782,218114
2021,Komersial,21919,3862,11038,225859
2022,Komersial,21195,4248,11373,258357
2023,Komersial,21227,2012,11938,289429
