Year,Sector,Biomass,Gas,Kerosene,LPG,Electricity,Total
2000,Rumah Tangga,208610,81,63216,5932,18735,296573
2001,Rumah Tangga,212323,87,62329,6170,20437,301347
2002,Rumah Tangga,216465,96,59261,6373,20838,303033
2003,Rumah Tangga,220377,99,59640,7013,21917,309046
2004,Rumah Tangga,223425,124,60112,6798,23655,314115
2005,Rumah Tangga,224707,124,57696,5998,25246,313772
2006,Rumah Tangga,228186,128,50862,6719,26821,312716
2007,Rumah Tangga,231616,132,50229,8345,29010,319333
2008,Rumah Tangga,68422,131,40096,13487,30763,152899
2009,Rumah Tangga,63082,130,24255,22767,33682,143915
2010,Rumah Tangga,63067,135,14439,30386,36673,144700
2011,Rumah Tangga,60143,114,10072,35326,39914,145570
2012,Rumah Tangga,55139,134,7015,41123,44217,147629
2013,Rumah Tangga,49527,122,6396,45839,47330,149215
2014,Rumah Tangga,46207,99,4929,49810,51545,152590
2015,Rumah Tangga,38468,155,3903,51120,54562,149138
2016,Rumah Tangga,34387,166,3038,54302,57398,149436
2017,Rumah Tangga,28706,183,3114,58165,59842,150168
2018,Rumah Tangga,26622,239,3043,61819,60927,152810
2019,Rumah Tangga,23108,402,2871,63583,63649,153781
2020,Rumah Tangga,19309,404,2667,65585,68632,158357
2021,Rumah Tangga,17749,552,2657,69898,70136,161174
2022,Rumah Tangga,17517,729,2598,69922,71505,162449
2023,Rumah Tangga,15605,1018,2551,72260,75491,167625
2024,Rumah Tangga,15043,1128,2622,76690,83450,175494
