Year,Sector,Oil products,Natural gas,Biofuels and waste,Electricity
1990,Rumah Tangga,257809,224,525585,32756
1991,Rumah Tangga,265171,230,523776,37173
1992,Rumah Tangga,276981,230,521998,42015
1993,Rumah Tangga,274334,235,520978,47465
1994,Rumah Tangga,281041,282,516284,54583
1995,Rumah Tangga,298626,333,513134,65232
1996,Rumah Tangga,316554,391,509528,70383
1997,Rumah Tangga,321015,426,497945,81777
1998,Rumah Tangga,332682,437,485212,89481
1999,Rumah Tangga,392723,426,475180,96789
2000,Rumah Tangga,412535,472,474030,102211
2001,Rumah Tangga,408516,513,471845,112424
2002,Rumah Tangga,391255,553,470085,114624
2003,Rumah Tangga,397080,582,469384,120859
2004,Rumah Tangga,398701,685,464620,137019
2005,Rumah Tangga,379757,685,460916,141040
2006,Rumah Tangga,342689,737,453348,150440
2007,Rumah Tangga,347913,760,442995,162277
2008,Rumah Tangga,316070,755,432517,171424
2009,Rumah Tangga,271973,748,400156,191340
2010,Rumah Tangga,255301,777,396645,206884
2011,Rumah Tangga,256499,657,378911,225748
2012,Rumah Tangga,270310,772,344755,251010
2013,Rumah Tangga,292744,212,310421,269352
2014,Rumah Tangga,305982,542,290264,294274
2015,Rumah Tangga,312672,851,239632,310669
2016,Rumah Tangga,319565,912,214754,328276
2017,Rumah Tangga,344882,1348,175725,331271
2018,Rumah Tangga,361293,1318,167621,376353
2019,Rumah Tangga,370051,2213,145831,378178
2020,Rumah Tangga,379943,2436,131008,433219
2021,Rumah Tangga,395061,3039,125294,421887
2022,Rumah Tangga,403739,4013,110768,428409
2023,Rumah Tangga,410428,5796,100362,452603
