Country,Year,Temperature,Unit
Indonesia,1990,0.082,Degree Celsius
Indonesia,1991,0.211,Degree Celsius
Indonesia,1992,0.203,Degree Celsius
Indonesia,1993,0.204,Degree Celsius
Indonesia,1994,0.312,Degree Celsius
Indonesia,1995,0.342,Degree Celsius
Indonesia,1996,0.358,Degree Celsius
Indonesia,1997,0.378,Degree Celsius
Indonesia,1998,0.971,Degree Celsius
Indonesia,1999,0.235,Degree Celsius
Indonesia,2000,0.234,Degree Celsius
Indonesia,2001,0.47,Degree Celsius
Indonesia,2002,0.594,Degree Celsius
Indonesia,2003,0.621,Degree Celsius
Indonesia,2004,0.574,Degree Celsius
Indonesia,2005,0.709,Degree Celsius
Indonesia,2006,0.388,Degree Celsius
Indonesia,2007,0.43,Degree Celsius
Indonesia,2008,0.226,Degree Celsius
Indonesia,2009,0.532,Degree Celsius
Indonesia,2010,0.742,Degree Celsius
Indonesia,2011,0.306,Degree Celsius
Indonesia,2012,0.432,Degree Celsius
Indonesia,2013,0.76,Degree Celsius
Indonesia,2014,0.75,Degree Celsius
Indonesia,2015,0.771,Degree Celsius
Indonesia,2016,1.41,Degree Celsius
Indonesia,2017,0.957,Degree Celsius
Indonesia,2018,0.879,Degree Celsius
Indonesia,2019,1.045,Degree Celsius
Indonesia,2020,1.233,Degree Celsius
Indonesia,2021,1.02,Degree Celsius
Indonesia,2022,0.969,Degree Celsius
Indonesia,2023,1.101,Degree Celsius
